timestamp,model,latency,response_length
1767590384.525845,gemini,0.0,25
1767590386.8858507,llama,2.36,571
1767590390.5921662,chatgpt,6.074,258
1767762669.1495671,gemini,0.0,25
1767762673.258545,llama,4.106,324
1767762677.1380014,chatgpt,8.293,409
